TXDIFFSWING,TXPRE,TXPOST,RXTERM,Error_Count,Open Area
390 mV (00000),0.01 dB (00000),0.00 dB (00000),800 mV,599,1836
390 mV (00000),0.01 dB (00000),0.00 dB (00000),800 mV,599,0
390 mV (00000),0.01 dB (00000),0.74 dB (00011),800 mV,280,1692
390 mV (00000),0.01 dB (00000),0.74 dB (00011),800 mV,280,0
390 mV (00000),0.01 dB (00000),1.32 dB (00110),800 mV,0,1764
390 mV (00000),0.01 dB (00000),2.28 dB (01001),800 mV,0,3240
390 mV (00000),0.01 dB (00000),3.14 dB (01100),800 mV,0,6300
390 mV (00000),0.01 dB (00000),3.99 dB (01111),800 mV,0,12816
------------BEST------------
390 mV (00000),0.01 dB (00000),3.99 dB (01111),800 mV,0,12816
