TXDIFFSWING,TXPRE,TXPOST,RXTERM,Error_Count,Open Area
530 mV (00101),0.01 dB (00000),0.00 dB (00000),800 mV,0,73.4375,117277920
530 mV (00101),0.01 dB (00000),2.28 dB (01001),800 mV,0,75.0,107504160
530 mV (00101),0.01 dB (00000),3.99 dB (01111),800 mV,0,75.0,130628640
530 mV (00101),0.01 dB (00000),5.81 dB (10100),800 mV,0,76.5625,159934000
530 mV (00101),2.24 dB (01001),0.00 dB (00000),800 mV,0,71.875,662518480
530 mV (00101),2.24 dB (01001),2.28 dB (01001),800 mV,0,70.3125,130544640
530 mV (00101),2.24 dB (01001),3.99 dB (01111),800 mV,0,73.4375,698500480
530 mV (00101),2.24 dB (01001),5.81 dB (10100),800 mV,0,75.0,117498240
530 mV (00101),3.90 dB (01111),0.00 dB (00000),800 mV,0,68.75,144014240
530 mV (00101),3.90 dB (01111),2.28 dB (01001),800 mV,0,70.3125,86163280
530 mV (00101),3.90 dB (01111),3.99 dB (01111),800 mV,0,70.3125,93107120
530 mV (00101),3.90 dB (01111),5.81 dB (10100),800 mV,0,68.75,137564080
950 mV (11000),0.01 dB (00000),0.00 dB (00000),800 mV,0,71.875,146094800
950 mV (11000),0.01 dB (00000),2.28 dB (01001),800 mV,0,71.875,161630080
950 mV (11000),0.01 dB (00000),3.99 dB (01111),800 mV,0,73.4375,9843642400
950 mV (11000),0.01 dB (00000),5.81 dB (10100),800 mV,0,75.0,3707864320
950 mV (11000),2.24 dB (01001),0.00 dB (00000),800 mV,0,70.3125,110714960
950 mV (11000),2.24 dB (01001),2.28 dB (01001),800 mV,0,73.4375,119636320
950 mV (11000),2.24 dB (01001),3.99 dB (01111),800 mV,0,71.875,99962240
950 mV (11000),2.24 dB (01001),5.81 dB (10100),800 mV,0,73.4375,117991440
950 mV (11000),3.90 dB (01111),0.00 dB (00000),800 mV,0,65.625,118120400
950 mV (11000),3.90 dB (01111),2.28 dB (01001),800 mV,0,68.75,85376000
950 mV (11000),3.90 dB (01111),3.99 dB (01111),800 mV,0,70.3125,106012160
950 mV (11000),3.90 dB (01111),5.81 dB (10100),800 mV,0,68.75,125870640
1040 mV (11111),0.01 dB (00000),0.00 dB (00000),800 mV,0,70.3125,125455920
1040 mV (11111),0.01 dB (00000),2.28 dB (01001),800 mV,0,71.875,6845262000
1040 mV (11111),0.01 dB (00000),3.99 dB (01111),800 mV,0,73.4375,114065360
1040 mV (11111),0.01 dB (00000),5.81 dB (10100),800 mV,0,75.0,83944720
1040 mV (11111),2.24 dB (01001),0.00 dB (00000),800 mV,0,70.3125,119414400
1040 mV (11111),2.24 dB (01001),2.28 dB (01001),800 mV,0,73.4375,121316400
1040 mV (11111),2.24 dB (01001),3.99 dB (01111),800 mV,0,73.4375,127926640
1040 mV (11111),2.24 dB (01001),5.81 dB (10100),800 mV,0,71.875,94268720
1040 mV (11111),3.90 dB (01111),0.00 dB (00000),800 mV,0,67.1875,99319200
1040 mV (11111),3.90 dB (01111),2.28 dB (01001),800 mV,0,68.75,147566320
1040 mV (11111),3.90 dB (01111),3.99 dB (01111),800 mV,0,68.75,159651840
1040 mV (11111),3.90 dB (01111),5.81 dB (10100),800 mV,0,67.1875,164822160
------------BEST------------
530 mV (00101),0.01 dB (00000),5.81 dB (10100),800 mV,0,76.5625
