SW Version,2020.2.2
Date and Time Started,2022-Jun-08 18:10:03
Date and Time Ended,2022-Jun-08 18:10:51
Scan Name,Scan 8
Link Settings,
Reset RX After Applying Settings,false
Open Area,8235
Horizontal Opening,40
Horizontal Percentage,61.54
Vertical Opening,255
Vertical Percentage,100.00
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,1
Vertical Range,100%
Misc Info,ELF Version: 0x0009 SVN: 16356
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
127,0.219621,0.200388,0.175415,0.14644,0.110701,0.0783012,0.0512312,0.028207,0.0128617,0.00510815,0.00148251,0.000307469,4.84474e-05,4.10086e-06,3.81476e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,5.72213e-07,7.62951e-07,7.24804e-06,4.1104e-05,0.000144865,0.000441272,0.00105955,0.00228695,0.00438087,0.00862793,0.0152107,0.0255724,0.0405378,0.059786,0.0824962,0.108877,0.134161,0.166299,0.192569,0.216716,0.23246,0.243661,0.249752,0.254722,0.260722,0.270537
126,0.217753,0.200192,0.172171,0.143616,0.110671,0.0766455,0.0493843,0.0263913,0.012398,0.0045511,0.00131781,0.000279145,4.59678e-05,4.00549e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,1.62127e-06,6.29435e-06,3.46189e-05,0.000134089,0.000417048,0.000909342,0.00211366,0.00405776,0.0081013,0.0145525,0.0250149,0.0382191,0.0569038,0.0799051,0.104595,0.132856,0.161895,0.190332,0.213441,0.232064,0.243516,0.248993,0.254406,0.260888,0.268762
125,0.217406,0.197871,0.173043,0.139176,0.108906,0.0760337,0.0475553,0.0246803,0.0119231,0.0042484,0.00122196,0.000236515,3.69078e-05,3.43328e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.2398e-06,6.10361e-06,3.36652e-05,0.000125982,0.000360685,0.000875868,0.00206769,0.0038407,0.00809874,0.0139884,0.0235765,0.0381692,0.0559478,0.0794094,0.101586,0.129536,0.160814,0.189539,0.213108,0.232724,0.24265,0.249448,0.254881,0.260556,0.270359
124,0.215803,0.196166,0.173778,0.13805,0.105105,0.0746753,0.0450202,0.0245354,0.0116614,0.00399691,0.0011656,0.000236992,2.77523e-05,3.52865e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,6.67582e-07,5.34066e-06,2.80385e-05,0.000108625,0.00033999,0.000799287,0.00187886,0.00348402,0.00751397,0.0135121,0.0231972,0.035325,0.0556513,0.0774426,0.10151,0.128601,0.158819,0.18806,0.210372,0.231278,0.242363,0.249296,0.254881,0.262224,0.273976
123,0.215576,0.194859,0.170309,0.138423,0.10562,0.0720608,0.0447008,0.0238983,0.0107364,0.00372377,0.00105869,0.000193408,2.26978e-05,3.0518e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,4.76844e-07,3.71939e-06,2.05043e-05,9.59411e-05,0.00031424,0.00073558,0.00172675,0.00343128,0.0073806,0.0124838,0.0223736,0.0363857,0.0523376,0.0744175,0.100145,0.128763,0.159623,0.187543,0.209833,0.22998,0.241221,0.248993,0.255517,0.263066,0.274343
122,0.214223,0.194028,0.168835,0.136714,0.103198,0.0722898,0.0430336,0.0227211,0.0102107,0.00354286,0.000941005,0.000177005,2.44144e-05,1.71664e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,7.62951e-07,5.5314e-06,2.12673e-05,8.24941e-05,0.000288968,0.000712501,0.00169156,0.00330367,0.00711285,0.0123606,0.0213241,0.035074,0.051463,0.0740676,0.0991752,0.126223,0.154447,0.185588,0.20887,0.229593,0.241648,0.250057,0.255517,0.263744,0.273793
121,0.212997,0.194859,0.163969,0.135897,0.101234,0.0680049,0.0422523,0.022348,0.00974597,0.00345083,0.000909438,0.000157549,1.84062e-05,1.90738e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,3.43328e-06,2.11719e-05,8.08728e-05,0.000278286,0.000655756,0.00160239,0.00294757,0.00653562,0.0118226,0.0209897,0.0331521,0.0502076,0.0732595,0.0958562,0.124497,0.154564,0.183018,0.207599,0.227426,0.240513,0.249296,0.256316,0.264254,0.274159
120,0.211349,0.190953,0.164166,0.135897,0.0966479,0.0685742,0.0410332,0.020836,0.00956235,0.00306592,0.000815404,0.000132277,1.79294e-05,2.00275e-06,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,2.67033e-06,1.85016e-05,7.35294e-05,0.000252346,0.000611028,0.00150816,0.00287242,0.0062606,0.0110845,0.0203111,0.0324302,0.0483925,0.0712709,0.0952101,0.12111,0.153348,0.181477,0.207179,0.226922,0.240796,0.25021,0.255358,0.264766,0.276566
119,0.210913,0.190332,0.160751,0.132469,0.0958787,0.0664386,0.039778,0.0202269,0.00887681,0.00286164,0.00075761,0.000123121,1.38285e-05,1.04906e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,5.72213e-07,3.24254e-06,1.76432e-05,6.75212e-05,0.000230507,0.000547417,0.00140269,0.00267443,0.00602226,0.0107426,0.0192641,0.0321477,0.0474067,0.0705831,0.0937715,0.120753,0.151197,0.179646,0.204286,0.22617,0.241648,0.250669,0.256799,0.265109,0.27545
118,0.212997,0.187801,0.161194,0.129536,0.0948134,0.0649942,0.0379957,0.0192786,0.00833422,0.00273632,0.000676833,0.00010481,1.22072e-05,1.33516e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,3.33791e-06,1.53544e-05,5.95102e-05,0.000195315,0.000529679,0.00130589,0.00255379,0.0058381,0.0103154,0.0185976,0.0300619,0.0474451,0.0676232,0.0920022,0.119345,0.148028,0.177544,0.203373,0.223577,0.239809,0.249752,0.256316,0.265281,0.27545
